Title;Year;Rank;Rating;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;runtimeMinutes;genres
The Shawshank Redemption;1994;1;9.2;tt0111161;movie;The Shawshank Redemption;The Shawshank Redemption;0.0;1994.0;142;Drama
The Godfather;1972;2;9.2;tt0068646;movie;The Godfather;The Godfather;0.0;1972.0;175;Crime,Drama
The Dark Knight;2008;3;9.0;tt0468569;movie;The Dark Knight;The Dark Knight;0.0;2008.0;152;Action,Crime,Drama
The Godfather Part II;1974;4;9.0;tt0071562;movie;The Godfather Part II;The Godfather Part II;0.0;1974.0;202;Crime,Drama
12 Angry Men;1957;5;8.9;tt0050083;movie;12 Angry Men;12 Angry Men;0.0;1957.0;96;Crime,Drama
Schindler's List;1993;6;8.9;tt0108052;movie;Schindler's List;Schindler's List;0.0;1993.0;195;Biography,Drama,History
The Lord of the Rings: The Return of the King;2003;7;8.9;tt0167260;movie;The Lord of the Rings: The Return of the King;The Lord of the Rings: The Return of the King;0.0;2003.0;201;Action,Adventure,Drama
Pulp Fiction;1994;8;8.8;tt0110912;movie;Pulp Fiction;Pulp Fiction;0.0;1994.0;154;Crime,Drama
The Lord of the Rings: The Fellowship of the Ring;2001;9;8.8;tt0120737;movie;The Lord of the Rings: The Fellowship of the Ring;The Lord of the Rings: The Fellowship of the Ring;0.0;2001.0;178;Action,Adventure,Drama
The Good, the Bad and the Ugly;1966;10;8.8;tt0060196;movie;The Good, the Bad and the Ugly;Il buono, il brutto, il cattivo;0.0;1966.0;161;Adventure,Western
Forrest Gump;1994;11;8.8;tt0109830;movie;Forrest Gump;Forrest Gump;0.0;1994.0;142;Drama,Romance
Fight Club;1999;12;8.7;tt0137523;movie;Fight Club;Fight Club;0.0;1999.0;139;Drama
Inception;2010;13;8.7;tt1375666;movie;Inception;Inception;0.0;2010.0;148;Action,Adventure,Sci-Fi
The Lord of the Rings: The Two Towers;2002;14;8.7;tt0167261;movie;The Lord of the Rings: The Two Towers;The Lord of the Rings: The Two Towers;0.0;2002.0;179;Action,Adventure,Drama
Star Wars: Episode V - The Empire Strikes Back;1980;15;8.7;tt0080684;movie;Star Wars: Episode V - The Empire Strikes Back;The Empire Strikes Back;0.0;1980.0;124;Action,Adventure,Fantasy
The Matrix;1999;16;8.7;tt0133093;movie;The Matrix;The Matrix;0.0;1999.0;136;Action,Sci-Fi
Goodfellas;1990;17;8.7;tt0099685;movie;Goodfellas;Goodfellas;0.0;1990.0;145;Biography,Crime,Drama
One Flew Over the Cuckoo's Nest;1975;18;8.6;tt0073486;movie;One Flew Over the Cuckoo's Nest;One Flew Over the Cuckoo's Nest;0.0;1975.0;133;Drama
Se7en;1995;19;8.6;tt0114369;movie;Se7en;Se7en;0.0;1995.0;127;Crime,Drama,Mystery
Seven Samurai;1954;20;8.6;tt0047478;movie;Seven Samurai;Shichinin no samurai;0.0;1954.0;207;Action,Drama
It's a Wonderful Life;1946;21;8.6;tt0038650;movie;It's a Wonderful Life;It's a Wonderful Life;0.0;1946.0;130;Drama,Family,Fantasy
The Silence of the Lambs;1991;22;8.6;tt0102926;movie;The Silence of the Lambs;The Silence of the Lambs;0.0;1991.0;118;Crime,Drama,Thriller
City of God;2002;23;8.6;tt0317248;movie;City of God;Cidade de Deus;0.0;2002.0;130;Crime,Drama
Saving Private Ryan;1998;24;8.6;tt0120815;movie;Saving Private Ryan;Saving Private Ryan;0.0;1998.0;169;Drama,War
Life Is Beautiful;1997;25;8.6;tt0118799;movie;Life Is Beautiful;La vita è bella;0.0;1997.0;116;Comedy,Drama,Romance
The Green Mile;1999;26;8.6;tt0120689;movie;The Green Mile;The Green Mile;0.0;1999.0;189;Crime,Drama,Fantasy
Interstellar;2014;27;8.6;tt0816692;movie;Interstellar;Interstellar;0.0;2014.0;169;Adventure,Drama,Sci-Fi
Star Wars;1977;28;8.6;tt0076759;movie;Star Wars;Star Wars;0.0;1977.0;121;Action,Adventure,Fantasy
Terminator 2: Judgment Day;1991;29;8.5;tt0103064;movie;Terminator 2: Judgment Day;Terminator 2: Judgment Day;0.0;1991.0;137;Action,Sci-Fi
Back to the Future;1985;30;8.5;tt0088763;movie;Back to the Future;Back to the Future;0.0;1985.0;116;Adventure,Comedy,Sci-Fi
Spirited Away;2001;31;8.5;tt0245429;movie;Spirited Away;Sen to Chihiro no kamikakushi;0.0;2001.0;125;Adventure,Animation,Family
Psycho;1960;32;8.5;tt0054215;movie;Psycho;Psycho;0.0;1960.0;109;Horror,Mystery,Thriller
The Pianist;2002;33;8.5;tt0253474;movie;The Pianist;The Pianist;0.0;2002.0;150;Biography,Drama,Music
Léon: The Professional;1994;34;8.5;tt0110413;movie;Léon: The Professional;Léon;0.0;1994.0;110;Action,Crime,Drama
Parasite;2019;35;8.5;tt6751668;movie;Parasite;Gisaengchung;0.0;2019.0;132;Comedy,Drama,Thriller
The Lion King;1994;36;8.5;tt0110357;movie;The Lion King;The Lion King;0.0;1994.0;88;Adventure,Animation,Drama
Gladiator;2000;37;8.5;tt0172495;movie;Gladiator;Gladiator;0.0;2000.0;155;Action,Adventure,Drama
American History X;1998;38;8.5;tt0120586;movie;American History X;American History X;0.0;1998.0;119;Crime,Drama
The Departed;2006;39;8.5;tt0407887;movie;The Departed;The Departed;0.0;2006.0;151;Crime,Drama,Thriller
The Usual Suspects;1995;40;8.5;tt0114814;movie;The Usual Suspects;The Usual Suspects;0.0;1995.0;106;Crime,Drama,Mystery
The Prestige;2006;41;8.5;tt0482571;movie;The Prestige;The Prestige;0.0;2006.0;130;Drama,Mystery,Sci-Fi
Casablanca;1942;42;8.5;tt0034583;movie;Casablanca;Casablanca;0.0;1942.0;102;Drama,Romance,War
Whiplash;2014;43;8.5;tt2582802;movie;Whiplash;Whiplash;0.0;2014.0;106;Drama,Music
The Intouchables;2011;44;8.5;tt1675434;movie;The Intouchables;Intouchables;0.0;2011.0;112;Biography,Comedy,Drama
Grave of the Fireflies;1988;45;8.5;tt0095327;movie;Grave of the Fireflies;Hotaru no haka;0.0;1988.0;89;Animation,Drama,War
