Title;Year;Rank;Rating
The Shawshank Redemption;1994;1;9.2
The Godfather;1972;2;9.2
The Dark Knight;2008;3;9.0
The Godfather Part II;1974;4;9.0
12 Angry Men;1957;5;8.9
Schindler's List;1993;6;8.9
The Lord of the Rings: The Return of the King;2003;7;8.9
Pulp Fiction;1994;8;8.8
The Lord of the Rings: The Fellowship of the Ring;2001;9;8.8
The Good, the Bad and the Ugly;1966;10;8.8
Forrest Gump;1994;11;8.8
Fight Club;1999;12;8.7
Inception;2010;13;8.7
The Lord of the Rings: The Two Towers;2002;14;8.7
Star Wars: Episode V - The Empire Strikes Back;1980;15;8.7
The Matrix;1999;16;8.7
Goodfellas;1990;17;8.7
One Flew Over the Cuckoo's Nest;1975;18;8.6
Se7en;1995;19;8.6
Seven Samurai;1954;20;8.6
It's a Wonderful Life;1946;21;8.6
The Silence of the Lambs;1991;22;8.6
City of God;2002;23;8.6
Saving Private Ryan;1998;24;8.6
Life Is Beautiful;1997;25;8.6
The Green Mile;1999;26;8.6
Interstellar;2014;27;8.6
Star Wars;1977;28;8.6
Terminator 2: Judgment Day;1991;29;8.5
Back to the Future;1985;30;8.5
Spirited Away;2001;31;8.5
Psycho;1960;32;8.5
The Pianist;2002;33;8.5
Léon: The Professional;1994;34;8.5
Parasite;2019;35;8.5
The Lion King;1994;36;8.5
Gladiator;2000;37;8.5
American History X;1998;38;8.5
The Departed;2006;39;8.5
The Usual Suspects;1995;40;8.5
The Prestige;2006;41;8.5
Casablanca;1942;42;8.5
Whiplash;2014;43;8.5
The Intouchables;2011;44;8.5
Grave of the Fireflies;1988;45;8.5
Harakiri;1962;46;8.5
Modern Times;1936;47;8.4
Once Upon a Time in the West;1968;48;8.4
Rear Window;1954;49;8.4
Alien;1979;50;8.4
City Lights;1931;51;8.4
Cinema Paradiso;1988;52;8.4
Apocalypse Now;1979;53;8.4
Memento;2000;54;8.4
Indiana Jones and the Raiders of the Lost Ark;1981;55;8.4
Django Unchained;2012;56;8.4
WALL·E;2008;57;8.4
The Lives of Others;2006;58;8.4
Sunset Blvd.;1950;59;8.4
Top Gun: Maverick;2022;60;8.4
Paths of Glory;1957;61;8.4
The Shining;1980;62;8.4
The Great Dictator;1940;63;8.4
Witness for the Prosecution;1957;64;8.4
Avengers: Infinity War;2018;65;8.4
Aliens;1986;66;8.3
American Beauty;1999;67;8.3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;68;8.3
Spider-Man: Into the Spider-Verse;2018;69;8.3
The Dark Knight Rises;2012;70;8.3
Oldboy;2003;71;8.3
Joker;2019;72;8.3
Amadeus;1984;73;8.3
Braveheart;1995;74;8.3
Toy Story;1995;75;8.3
Coco;2017;76;8.3
Inglourious Basterds;2009;77;8.3
The Boat;1981;78;8.3
